filename,client_id,sentence,age,gender,locale,duration_sec
common_voice_en_27710027.mp3,000abb3006b78ea4c1144e55d9d158f05a9db0110160510fef2b006f2c2c8e35f7bb538b04542511834b61503cdda5b0331566a5cf59dc0d375a44afc4d10777,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",,,en,6.3
common_voice_en_699711.mp3,0013037a1d45cc33460806cc3f8ecee9d536c45639ba4cbbf1564f1c051f53ff3c9f89ef2f1bf04badf55b3a2e7654c086f903681a7b6299616cff6f67598eff,She'll be all right.,,,en,2.184
common_voice_en_21953345.mp3,0014c5a3e5715a54855257779b89c2bb498d470b225866d2c29bc37c84f2c57a8d40d63ca836eedfef9b0a348f66914f3ed86b767482fdc5e8bde97f03da4b8c,six,,,en,6.576
common_voice_en_18132047.mp3,001509f4624a7dee75247f6a8b642c4a0d09f8be3eeea6a26940df0a44d686eecfadc060f1baa3e5dca659835fe3d4f37c72a3a35951266aadd40decdb48b8a5,All's well that ends well.,,,en,4.176
common_voice_en_27340672.mp3,001519f234e04528a2b36158c205dbe61c8da45ab0242f8800d6c4c2e9ac6ca76c9e5af86a313ab309f426c44204dfa7d2bb14b37ed565af9c1c6c86943675f9,It is a busy market town that serves a large surrounding area.,,,en,6.66
common_voice_en_18188256.mp3,00347685c719db69fbee0a75ce80844efbd5e5036c37b3c6bf19fee5dc2ae87f635d06ff54ed326ed233b4e710f29e69b76c424b75720c9cc5f3aadf5b9629f3,We are going to the football game tonight.,fifties,male_masculine,en,3.744
common_voice_en_30620431.mp3,00379062e62b5ff07eecab71b3580f6a1fd6911ede283921817e30201adf3950f50d3a690ccdab1bffcbcce87de5d4c62e7281bd58e4662f1b4fd210940f8e3d,Elizabeth was about the same age as Maria.,,,en,6.84
common_voice_en_17263741.mp3,003fb666a99eb3aa3ba05d9c8641c18e55cf7d34d1b981552924235d083d8c62d0ec5d62836e7d17d9c2bad6b49e5bd373ffaf87a3d7888a26a53c787b28dbf8,Do you mean it?,,,en,5.976
common_voice_en_17561821.mp3,0047f1aea3f39c4c6a9298d84f046c1f84f439f594d8404c47dafdce01374fbbc5aef942f5829236b5ffad3ec5d04632c533b02d8d12cf9cacc9c12fbfef1663,How is Mozilla going to handle ambiguities like queue and cue?,,,en,7.056
common_voice_en_18365693.mp3,006015274fb2a0e44ffd95b6624a52ebf90b65f3e9beacd08f30f03a2dfb7f04b5007740d80dcfcb7ee2916cf8836311fa9bdc5ab0636ffc36ad14407d75e51b,You are so rude!,thirties,male_masculine,en,3.096
common_voice_en_59751.mp3,00610bda27826b8615139e6a430d43382935f37922dc1c74cd35c13ac0f8d4c2a3fb8c46160d4cf2096781f4d00bec24412080452d95db774c8c7b84a0b755b3,I guess you must think I'm kinda batty.,,,en,3.6
common_voice_en_17914141.mp3,006fc8590029899815b81e91465b01775c1b7c9ef848e6d4f7d0be7e492649c0b5bbce33dbd1b1856d1334c6179785f825c4d8200d5eaea61d896ddfeff1bc5d,No one near the remote machine you could ring?,,,en,4.176
common_voice_en_18902772.mp3,007762ba618b38ed77739616c7a6ace0341e1e134ac4051d6662cb6925f9631026a3655bb7f3251815af24da52a97a4541c64d22139746b17084eb211154afc3,Groves started writing songs when she was four years old.,,,en,7.032
common_voice_en_37476269.mp3,00778b9356111e5c05365103769fb9ec90fc07e08476add0f61176386783c4be2167959032db674e47e725f640426d62e98048e4a8adb90b34c09797c945e7c0,This led to both the Red Terror and the White Terror.,,,en,4.896
common_voice_en_38028701.mp3,00b49c1ce7114874454cb177ddfa68a52233ec13ac7b8427a15cc96f62027278eb955d70e75258585f0c517cac889ee5323531b133a88950e791a549f9e68a08,The Sacramento Valley Rail Station is just a short walk away.,,,en,7.38
common_voice_en_17681332.mp3,00c4ad0873c9bdb69fd45bffc0cbc880a29bffc6dc83754d5532fea8b354e6c82461c046e85e0a86eea5f9e627cd6b73db97149d510bd788b705777f256ac8b4,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.",,,en,8.664
common_voice_en_665631.mp3,00c96b6fffbc074a77823fcb19566e1151f25fb50308ca989d195618306df93c1fb8f89939b48a342d6d522cdcec148333253eaf8a6664756f26aa59d9633bc5,There was nothing to hold him back except himself.,,,en,4.944
common_voice_en_39584989.mp3,00cb430b113e0ac0ec056de203bfcefbd45ea814b484600af8a20e5ddb9eaa9c471889074790bbd4133ecece80dcf0fbba448fe3e0d7cf15e6f500766622f940,These locomotives are serviced at Washwood Heath.,,,en,5.976
common_voice_en_36734620.mp3,00e0b313832e470752099e6cf6d8d40626e7378c7475ab640e8d24ec2aebe3ed7580a57f2652f93d049f04fc8cfb7b8ecff050180cdd555d15c1c6eeeef86ad5,It might be in this writer's Top Ten!,,,en,5.328
common_voice_en_18297811.mp3,00e39637272a71b9a68a040a0959858e65b58570ad36de46ea70681e91d779670ebebbaf926469915c85c8fdf0d751e7bcf633a47d5642ba4c5780473459b108,We spoke often.,,,en,3.552
common_voice_en_18373122.mp3,010abde4f89cbb8b3cc17067f669fdfbe5f78ef68a0c72cd82b5406d1b4824b6654424402172b6435d9587d0fee6d029c210213e7824b46385090b98d06cb280,Mrs. Lewis was selected as the new commissioner.,,,en,5.544
common_voice_en_456493.mp3,0112504d5eaf9f9dbf74b2735e9952d3a3e6caaec3b64a7e90d87c2c34b723851053abc2572b33b018898b005704ed0812bbe2b631b9e6a8bc432d8ac3ff511e,The electrician looked puzzled.,,,en,3.768
common_voice_en_18179121.mp3,012040db3506afcbf7b49356421cd9aff09ce0b8926ddabf3b0091e6c069f50ffe10e844cb68af7d89c84d36ad444bda7cd9b6b8514af12714bd5592de6b3fb9,The ladder on the fire truck was not long enough.,,,en,4.176
common_voice_en_496376.mp3,0120500f2a5dd73d0c9cd8009c5758db2ab6f43e9e076df091b19c989a7bafb04a2d3dc8647181ad7c6a41284d63210f88aee67117a3ad0672ace522d25861a8,I will tell her what we decided.,,,en,9.264
common_voice_en_23730890.mp3,01480c48a981c36da3394b0642133ad2ca044d370d70dcfad4ae9b724d1696a42fb831a821107c7fbfa724823fba177b842fa3a117b0d6b2b06daeea77e6d748,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,,,en,9.576
common_voice_en_17925871.mp3,014ba283f25e74dd91e66bd1711f9ea0233b1ee618b2570387bbbdbebdf0f596a78705467709a5b689c7024959a995e6cee4c9549988873fd966d2b80f5777ad,"I guess, it's a never-ending story.",,,en,3.264
common_voice_en_18274681.mp3,0151a11811829abf7ab52abee9e436e800fcb1e1d07634d2ac166975b0b72218745b0346cb9b5cba0d9aa717482d17853966a8d473702a8cc01b1953c076b709,Good things come in small packages.,,,en,4.248
common_voice_en_20141506.mp3,0174dbd5201eb5223705bb5b697693fd26fc1aded7c8d3f6ab7f8510e1777427f97e9d3a27694d1b772f56846cbb537c0ff626657320944da8cdf099dba7b9b1,It is a member theater of the Union of the Theatres of Europe.,,,en,5.976
common_voice_en_18373309.mp3,0184d404acda6c504bd6cf948ba0e371fc089ad845a4e0f714d15af24abeaea028183cf5ca62b75cb17bc9cad9720ca22bd4b13de3dd7f3cb1f5c0544f907a25,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.",,,en,6.624
common_voice_en_572372.mp3,0198410edb39cd3dff7176bf195952d144c2a5ee6d21907a8560c5631472f114681e5a8844c9de756dc56b66b017a83d239273614f8c82c50642c6abe2af4030,YOU WANNA TAKE THIS OUTSIDE?,,,en,3.84
common_voice_en_19595713.mp3,01a71a1759f81ab04262c562ae8e1678abdfbe961daebe0a2323017c203214536d0a0681de6de51bfa09c9e85b71b6b000c04d066db945cacbf2778b12fb2c1f,The immersion in hot water also kills the silkworm pupa.,,,en,6.168
common_voice_en_20888935.mp3,01ad7449f5d49c25df9450e457d7a159a37c224eeaffa652971f10f5b01eadba892fbf95f50f549a1a1d2a0632f71badea62bf9242c1376190aac7dcc3e96660,"She married her business partner, Steve Lane.",,,en,4.056
common_voice_en_18373188.mp3,01b1fbccb83af8e160265d53c7195794d9c4b9000560ba598054c4f959822f3141e4f9b3b1c19a2ac42290a40a28f938911ed9247fe82377c35c73a33dc2b2fc,Who has already arrived?,,,en,3.456
common_voice_en_18125649.mp3,01b8478d5d5d5b5a7e81785e2c6f2cdc769c58e4d5e705ed4187bdcc0e7a79f1905acc02bea504b20814c93eb03699c480dcb3f091c7f443a590bad97388e073,The attack on our root server overstrained our senior administrator.,,,en,6.984
common_voice_en_346569.mp3,01bf1534109f48576c9ac96fd68a0625aa0bfe8c25ad884d4fe9ef95b49a3ba3641310815b08991a9b8f0ab15a1c9e565473cf1bb4c36d0c698ed277020363a4,Do you want me?,,,en,4.296
common_voice_en_15016096.mp3,01bf64059b8168f542024a2af5b52fb26379ba64e1935fe7c3a25a79c39a4a8731df2da7fb0a8f6d05e47810f921f3afedd85bdeb40ddbe00054cdda67347368,That would be funny if he did.,,,en,2.88
common_voice_en_19706560.mp3,01da1f1a188870eafd7a09a38aab1d84bdc7294eb6b2449ffd96d1a25e0cb28a05d7892e95c169c3b6bef57af724065c069948a82131057e423c474e82426f87,"Although she had flowers and applause, Mavis said she was not content.",,,en,7.176
